S,P,O1,O2,S_perf,P_perf,O1_perf,O2_perf,pos1,pos2,pos3,pos4,subject_id,trial,rt,decision_type,bonus,response,response_n,dec_OC,out_eng,dec_num_n,correct,init,age,sex,version
2,2,6,4,,,,,3,0,1,2,oep739p,53,268.69999999925494,3,-0.5,,0,1,-4.5,1,1,SC,16,W,NA
2,2,6,4,,,,,3,0,1,2,oep739p,53,236.40000000223517,5,-0.5,,1,NA,-6.5,2,0,SC,16,W,NA
4,6,3,6,,,,,0,2,3,1,oep739p,54,12,5,-0.5,,0,NA,0.5,1,0,SC,16,W,NA
4,6,3,6,,,,,0,2,3,1,oep739p,54,97.39999999850988,3,-0.5,,1,1,2.5,2,1,SC,16,W,NA
4,4,3,5,,,,,2,1,3,0,oep739p,55,195.80000000074506,5,0.5,,0,NA,0.5,1,0,SC,16,W,NA
4,4,3,5,,,,,2,1,3,0,oep739p,55,317,3,-0.5,,1,1,0.5,2,1,SC,16,W,NA
4,4,3,6,,,,,3,1,0,2,oep739p,56,268.69999999925494,1,-0.5,,0,1,0.5,1,0,SC,16,W,NA
4,4,3,6,,,,,3,1,0,2,oep739p,56,141.80000000074506,2,-0.5,,1,2,-2.5,2,0,SC,16,W,NA
4,4,4,3,,,,,1,3,2,0,oep739p,57,253.60000000149012,5,-0.5,,1,NA,0.5,1,1,SC,16,W,NA
4,4,4,3,,,,,1,3,2,0,oep739p,57,44.30000000074506,1,0.5,,0,1,0.5,2,0,SC,16,W,NA
5,3,3,1,,,,,1,3,0,2,oep739p,58,356.69999999925494,3,-0.5,,0,1,-0.5,1,1,SC,16,W,NA
5,3,3,1,,,,,1,3,0,2,oep739p,58,110,1,-0.5,,1,1,1.5,2,1,SC,16,W,NA
5,4,4,4,,,,,3,0,2,1,oep739p,59,771.6000000014901,3,0.5,,0,1,0.5,1,0,SC,16,W,NA
5,4,4,4,,,,,3,0,2,1,oep739p,59,332.19999999925494,5,-0.5,,0,NA,0.5,2,0,SC,16,W,NA
4,3,2,4,,,,,3,2,1,0,oep739p,60,444.8999999985099,5,0.5,,0,NA,1.5,1,0,SC,16,W,NA
4,3,2,4,,,,,3,2,1,0,oep739p,60,78.19999999925494,4,-0.5,,1,2,-1.5,2,0,SC,16,W,NA
2,4,3,4,,,,,2,3,1,0,oep739p,61,794.2999999970198,5,-0.5,,0,NA,-1.5,1,1,SC,16,W,NA
2,4,3,4,,,,,2,3,1,0,oep739p,61,1504.1000000014901,4,-0.5,,1,2,-0.5,2,0,SC,16,W,NA
4,2,3,3,,,,,0,3,2,1,oep739p,62,3234.099999997765,1,-0.5,,0,1,0.5,1,0,SC,16,W,NA
4,2,3,3,,,,,0,3,2,1,oep739p,62,8033,5,-0.5,,0,NA,-0.5,2,1,SC,16,W,NA
4,4,4,4,,,,,2,1,0,3,oep739p,63,6113.60000000149,2,0.5,,0,2,0.5,1,0,SC,16,W,NA
4,4,4,4,,,,,2,1,0,3,oep739p,63,2905.699999999255,5,-0.5,,0,NA,-0.5,2,1,SC,16,W,NA
2,3,4,1,,,,,1,0,2,3,oep739p,64,4389.300000000745,5,0.5,,0,NA,0.5,1,0,SC,16,W,NA
2,3,4,1,,,,,1,0,2,3,oep739p,64,1823.699999999255,1,-0.5,,0,1,-2.5,2,1,SC,16,W,NA
